['blobDetector_multi-e7b4b1ba-0df6-41b1-9300-1afc7ef905ab', 'processing', 'memory', 'tcp://10.21.254.30:39088', 47041304643328, [['compute', 1533201371.5885048, 1533201558.0894597]]]
['blobDetector_multi-5c8b9dd5-f19a-4cbf-9c63-9dc0aba2273a', 'processing', 'memory', 'tcp://10.21.254.30:43460', 47040700647168, [['compute', 1533201371.579083, 1533201558.678895]]]
['blobDetector_multi-89321796-aef3-4238-bef4-cd95c1a20761', 'processing', 'memory', 'tcp://10.21.254.65:39520', 47461406115584, [['compute', 1533201371.580448, 1533201560.385118]]]
['blobDetector_multi-4cc63de1-5535-4c6c-920b-9290188df6db', 'processing', 'memory', 'tcp://10.21.254.30:39534', 47039090030336, [['compute', 1533201371.5784147, 1533201560.5679965]]]
['blobDetector_multi-6db8d46e-3340-43b2-ba65-fe0fb2039dc1', 'processing', 'memory', 'tcp://10.21.254.65:37758', 47458990192384, [['compute', 1533201371.5802808, 1533201561.3970928]]]
['blobDetector_multi-1e74d93c-f3be-4ff8-b545-792575a4129c', 'processing', 'memory', 'tcp://10.21.254.29:33501', 47121768154880, [['compute', 1533201371.5753706, 1533201561.8772616]]]
['blobDetector_multi-190dc33c-2b66-415b-ab26-75a4014149e1', 'processing', 'memory', 'tcp://10.21.254.26:44876', 47400337045248, [['compute', 1533201371.576122, 1533201563.635776]]]
['blobDetector_multi-bb74d334-62d6-41ed-b976-b902ddf167a4', 'processing', 'memory', 'tcp://10.21.254.26:41125', 47398726432512, [['compute', 1533201371.584638, 1533201565.356369]]]
['blobDetector_multi-20756691-6877-4a95-b857-7a1764a98609', 'processing', 'memory', 'tcp://10.21.254.29:35640', 47119753021184, [['compute', 1533201371.5757222, 1533201565.6908422]]]
['blobDetector_multi-d1be3eae-7ea4-4a9d-8304-3c5a8d856960', 'processing', 'memory', 'tcp://10.21.254.26:40176', 47397957043968, [['compute', 1533201371.5870528, 1533201565.769975]]]
['blobDetector_multi-58e8993a-d3d9-42bf-a972-d34db19257af', 'processing', 'memory', 'tcp://10.21.254.30:41426', 47039291356928, [['compute', 1533201371.579005, 1533201567.346823]]]
['blobDetector_multi-4bfe29e1-f538-40b1-9538-0550e3a541fe', 'processing', 'memory', 'tcp://10.21.254.30:37247', 47038687377152, [['compute', 1533201371.5808322, 1533201567.9631424]]]
['blobDetector_multi-a7238718-ff5c-4bfb-a0f9-7d4cc0133ecc', 'processing', 'memory', 'tcp://10.21.254.29:37477', 47120761517824, [['compute', 1533201371.5826812, 1533201568.1155791]]]
['blobDetector_multi-e863e9d7-3d09-4c1b-9e41-8d3bf80a629f', 'processing', 'memory', 'tcp://10.21.254.30:39671', 47037078263552, [['compute', 1533201371.5888212, 1533201568.405767]]]
