['blobDetector_multi-fb7f0b23-d61f-40f0-ab9f-c685122e3d70', 'processing', 'memory', 'tcp://10.21.250.46:44843', 47521133000448, [['compute', 1532977376.354056, 1532977553.4662068]]]
['blobDetector_multi-9653f2b4-da67-484f-8d03-42fb28114ec9', 'processing', 'memory', 'tcp://10.21.250.41:37927', 47649512257280, [['compute', 1532977370.51605, 1532977553.7293332]]]
['blobDetector_multi-95188f30-0a60-4a99-b42b-387d9730907d', 'processing', 'memory', 'tcp://10.21.250.41:37850', 47652733482752, [['compute', 1532977374.7658827, 1532977553.9201188]]]
['blobDetector_multi-c7f54766-a73e-4d1e-b85f-206728040a44', 'processing', 'memory', 'tcp://10.21.250.44:39595', 47985727670016, [['compute', 1532977381.3682957, 1532977554.1361167]]]
['blobDetector_multi-9a2692a8-b362-4b1e-abff-f8b9ae734694', 'processing', 'memory', 'tcp://10.21.250.41:39402', 47651324196608, [['compute', 1532977378.297242, 1532977554.628167]]]
['blobDetector_multi-88f819ca-4f86-4eac-bf13-80b3b437bc75', 'processing', 'memory', 'tcp://10.21.250.41:33928', 47652129502976, [['compute', 1532977374.172876, 1532977555.0593839]]]
['blobDetector_multi-d4c646f2-8fd0-4ce2-a0b2-280357d5ed2d', 'processing', 'memory', 'tcp://10.21.250.44:45271', 47982303250176, [['compute', 1532977376.3530185, 1532977555.2814054]]]
['blobDetector_multi-db92d5d9-ca8a-4fb8-9777-eea475720647', 'processing', 'memory', 'tcp://10.21.250.44:45279', 47986130593536, [['compute', 1532977377.927787, 1532977555.404162]]]
['blobDetector_multi-c332cfb4-8d0b-42ff-b7a1-4dfd67d55a7a', 'processing', 'memory', 'tcp://10.21.250.44:35331', 47984721295104, [['compute', 1532977371.4662812, 1532977556.6082451]]]
['blobDetector_multi-cb7a9311-078b-476e-a121-8dafe2d9d707', 'processing', 'memory', 'tcp://10.21.250.44:40911', 47982146471680, [['compute', 1532977377.475438, 1532977556.7895563]]]
