['blobDetector_multi-c1a3a4ed-5ee8-42ae-8bc9-97c6394d74ce', 'processing', 'memory', 'tcp://10.21.255.58:40250', 47396713166592, [['compute', 1533014627.8561046, 1533014807.0080216]]]
['blobDetector_multi-fa91fd24-fcac-425c-8b56-bdde6f4e7710', 'processing', 'memory', 'tcp://10.21.255.70:36732', 47401477895936, [['compute', 1533014627.8630574, 1533014807.0095243]]]
['blobDetector_multi-d8736541-cfdb-47fa-914e-e4bce7f43e53', 'processing', 'memory', 'tcp://10.21.255.58:46520', 47394515191552, [['compute', 1533014627.8588264, 1533014807.0766892]]]
['blobDetector_multi-324d97aa-f0f8-4820-b3aa-5ba8d1c8aba2', 'processing', 'memory', 'tcp://10.21.255.58:43643', 47394699900672, [['compute', 1533014627.8383746, 1533014807.0823705]]]
['blobDetector_multi-095ac3e4-c72a-4b44-914e-6595a867b1bc', 'processing', 'memory', 'tcp://10.21.255.48:42226', 46967149590272, [['compute', 1533014627.8321218, 1533014807.163488]]]
['blobDetector_multi-5806bf1b-3552-4511-95aa-9c09deb529c3', 'processing', 'memory', 'tcp://10.21.255.68:35125', 47749168920320, [['compute', 1533014627.8431866, 1533014807.1790144]]]
['blobDetector_multi-cb7346d8-6d9a-4d2c-8085-82512bde492d', 'processing', 'memory', 'tcp://10.21.255.51:46450', 47985593448192, [['compute', 1533014627.8575366, 1533014807.1792436]]]
['blobDetector_multi-331fe97a-b8c0-4b6a-8dd6-87e27f9717d8', 'processing', 'memory', 'tcp://10.21.255.58:46117', 47398522996480, [['compute', 1533014627.8385482, 1533014807.1850703]]]
['blobDetector_multi-9b80756f-a50c-43c8-9443-c34493d6fa3f', 'processing', 'memory', 'tcp://10.21.255.68:40904', 47746802198272, [['compute', 1533014627.8513727, 1533014807.2817156]]]
['blobDetector_multi-3a383db2-2d5c-468e-909e-4a70ab985b00', 'processing', 'memory', 'tcp://10.21.255.63:35370', 48001565357824, [['compute', 1533014627.8394558, 1533014807.3036227]]]
['blobDetector_multi-c81f5612-8b1c-448b-918a-2eabcc3e563f', 'processing', 'memory', 'tcp://10.21.255.48:43983', 46968357545728, [['compute', 1533014627.857051, 1533014807.325453]]]
['blobDetector_multi-3bc5e342-ae79-4a2e-8dc7-2842488d7da3', 'processing', 'memory', 'tcp://10.21.255.63:41143', 48002169337600, [['compute', 1533014627.8398728, 1533014807.442837]]]
['blobDetector_multi-70523cbc-b120-4ba1-ae5c-f65ded73b898', 'processing', 'memory', 'tcp://10.21.255.70:40976', 47404095141632, [['compute', 1533014627.846066, 1533014807.497097]]]
['blobDetector_multi-23d7a4a1-8349-4900-b953-52dae9e05669', 'processing', 'memory', 'tcp://10.21.255.53:41772', 47145658914560, [['compute', 1533014627.8362012, 1533014807.5727983]]]
['blobDetector_multi-314163d5-11df-4d52-be8e-85bc2e003447', 'processing', 'memory', 'tcp://10.21.255.58:40431', 47396310513408, [['compute', 1533014627.8385186, 1533014807.5747945]]]
['blobDetector_multi-6b3f5c21-f553-438e-947f-f43edf311eca', 'processing', 'memory', 'tcp://10.21.255.70:33511', 47400873916160, [['compute', 1533014627.8451126, 1533014807.5959797]]]
['blobDetector_multi-eb777027-eb26-437a-af69-7ce62f6242f3', 'processing', 'memory', 'tcp://10.21.255.51:40339', 47987606714112, [['compute', 1533014627.8615785, 1533014807.6011534]]]
['blobDetector_multi-9969c39d-8054-4cf8-90bd-c6e7f7dc2de7', 'processing', 'memory', 'tcp://10.21.255.68:34522', 47747155654400, [['compute', 1533014627.85137, 1533014807.674911]]]
['blobDetector_multi-052aef08-c0f0-4243-845c-ad763d8e0cb0', 'processing', 'memory', 'tcp://10.21.255.48:36948', 46965136062208, [['compute', 1533014627.8313544, 1533014807.8642755]]]
['blobDetector_multi-72bc306e-ad60-400f-879b-4df3933ced88', 'processing', 'memory', 'tcp://10.21.255.70:44597', 47401679222528, [['compute', 1533014627.8467824, 1533014808.0048084]]]
