CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000019,Euclidean_dist_1_102563,-49.2097048759,50.9147560596,51.1185331345,51.3210191727,311.012399197,313.110481024
unit.000020,Euclidean_dist_1_107961,-49.2073128223,51.6273009777,51.8176000118,52.0198040009,311.945605993,313.147047997
unit.000021,Euclidean_dist_1_113359,-49.2046878338,51.8629331589,52.066368103,52.268761158,311.324625969,313.097771168
unit.000022,Euclidean_dist_1_118757,-49.2018458843,53.3609859943,53.5649540424,53.7671170235,323.710937977,325.877722979
unit.000023,Euclidean_dist_1_124155,-49.1959209442,54.1640779972,54.367631197,54.5700631142,318.213630199,321.967216015
unit.000024,Euclidean_dist_1_129553,-49.1802070141,53.9086539745,54.1123280525,54.3145461082,313.805994034,315.187869072
unit.000025,Euclidean_dist_1_134951,-49.1746928692,55.109826088,55.3134121895,55.5157589912,319.483535051,321.972093105
unit.000026,Euclidean_dist_1_140349,-49.1702480316,54.862142086,55.0659689903,55.2681860924,321.706420183,323.600535154
unit.000027,Euclidean_dist_5399_5399,-49.1638469696,55.9059131145,56.1097350121,56.312417984,183.603022099,185.058413982
unit.000028,Euclidean_dist_5399_10797,-49.1602299213,52.4142370224,52.6180720329,52.8201780319,319.794934988,321.874760151
unit.000029,Euclidean_dist_5399_16195,-49.154804945,56.6041381359,56.8082389832,57.0104901791,320.131217003,322.154796124
unit.000030,Euclidean_dist_5399_21593,-49.1511049271,57.5528740883,57.7569191456,57.9593009949,312.859350204,313.394107103
unit.000031,Euclidean_dist_5399_26991,-49.14782691,57.8068029881,58.0113890171,58.213034153,315.118340969,316.288959026
unit.000032,Euclidean_dist_5399_32389,-49.145419836,58.3601651192,58.5638821125,58.7660701275,314.770215988,316.315961123
unit.000033,Euclidean_dist_5399_37787,-49.1429729462,17.4226551056,17.68100214,17.8267080784,272.849641085,274.316999197
unit.000034,Euclidean_dist_5399_43185,-49.1396780014,17.6778950691,17.8327810764,18.0302040577,283.847769022,285.600744009
unit.000035,Euclidean_dist_5399_48583,-49.1370728016,17.8297011852,18.036575079,18.2338490486,294.650238037,295.895151138
unit.000036,Euclidean_dist_5399_53981,-49.134649992,18.4408080578,18.6990711689,18.8451311588,284.166546106,285.603805065
unit.000037,Euclidean_dist_5399_59379,-49.1321489811,18.8481361866,19.0548591614,19.2521910667,292.462159157,293.572175026
unit.000038,Euclidean_dist_5399_64777,-49.1293849945,19.4635851383,19.7239589691,19.8737521172,282.098731041,283.489317179
unit.000039,Euclidean_dist_5399_70175,-49.1250669956,20.2881731987,20.4974830151,20.7501091957,268.315634012,270.083822012
unit.000040,Euclidean_dist_5399_75573,-49.1197528839,19.7208640575,19.8869421482,20.0772571564,292.761176109,293.611488104
unit.000041,Euclidean_dist_5399_80971,-49.104364872,20.4943749905,20.7532041073,20.9045770168,291.513583183,292.437875986
unit.000042,Euclidean_dist_5399_86369,-49.094080925,20.8997240067,21.1116981506,21.3134629726,284.830533028,286.673021078
unit.000043,Euclidean_dist_5399_91767,-49.0916638374,24.3645541668,24.5728740692,24.8306860924,290.136210203,291.293140173
unit.000044,Euclidean_dist_5399_97165,-49.0887598991,24.7716710567,24.9797899723,25.1881580353,288.984521151,291.136237144
unit.000045,Euclidean_dist_5399_102563,-49.0860660076,22.3265881538,22.5377180576,22.7934041023,277.796120167,279.632605076
unit.000046,Euclidean_dist_5399_107961,-49.0831580162,23.9571800232,24.1654081345,24.3733580112,278.149157047,279.636635065
unit.000047,Euclidean_dist_5399_113359,-49.0807278156,24.1607711315,24.369136095,24.5771090984,290.825407982,291.253951073
unit.000048,Euclidean_dist_5399_118757,-49.0783469677,21.9192121029,22.1314401627,22.3319242001,293.364551067,294.742670059
unit.000049,Euclidean_dist_5399_124155,-49.0760300159,21.7154960632,21.9275701046,22.1283521652,293.064820051,293.652024031
unit.000050,Euclidean_dist_5399_129553,-49.0734188557,21.3080890179,21.5195360184,21.7717761993,289.737507105,291.074167013
unit.000051,Euclidean_dist_5399_134951,-49.0704658031,22.5301539898,22.79018116,22.9460251331,276.210331202,277.51929903
unit.000052,Euclidean_dist_5399_140349,-49.0681138039,22.9381790161,23.1465129852,23.3537371159,288.360605001,289.964296103
unit.000053,Euclidean_dist_10797_10797,-49.0657908916,23.1418972015,23.3504090309,23.5571861267,149.704190969,150.986833096
unit.000054,Euclidean_dist_10797_16195,-49.0633318424,23.753467083,23.9656159878,24.1687650681,285.463855028,286.707895041
unit.000055,Euclidean_dist_10797_21593,-49.0594518185,25.382335186,25.5920240879,25.8472821712,282.802215099,284.55011797
unit.000056,Euclidean_dist_10797_26991,-49.0555789471,25.5859971046,25.8440811634,26.0024871826,304.083311081,304.856780052
unit.000057,Euclidean_dist_10797_32389,-49.0531668663,45.6694560051,45.8736050129,46.0758161545,309.729698181,310.686283112
unit.000058,Euclidean_dist_10797_37787,-49.0508439541,24.9751751423,25.1837990284,25.3913040161,286.433537006,287.822214127
unit.000059,Euclidean_dist_10797_43185,-49.0485508442,25.7896690369,25.9992861748,26.2060391903,280.777638197,282.436915159
unit.000060,Euclidean_dist_10797_48583,-49.0456340313,25.9934620857,26.2016232014,26.4096541405,286.083762169,287.839513063
unit.000061,Euclidean_dist_10797_53981,-49.0432929993,26.4006381035,26.6090140343,26.8657681942,273.629637003,275.381678104
unit.000062,Euclidean_dist_10797_59379,-49.0410268307,26.6044061184,26.8625559807,27.0193221569,273.159623146,274.319051027
unit.000063,Euclidean_dist_10797_64777,-49.0387079716,96.2712919712,96.4748601913,263.271450996,526.778179169,527.325242996
unit.000064,Euclidean_dist_10797_70175,-49.0361948013,76.1962080002,76.4017190933,76.6039772034,331.858350992,333.919664145
unit.000065,Euclidean_dist_10797_75573,-49.0313749313,77.149638176,77.3534181118,77.5556061268,335.845130205,337.294334173
unit.000066,Euclidean_dist_10797_80971,-49.0084779263,110.58562398,110.789169073,272.85433507,515.662358046,517.867037058
unit.000067,Euclidean_dist_10797_86369,-48.9983580112,78.1560599804,78.351359129,78.5536000729,330.018635035,331.749468088
unit.000068,Euclidean_dist_10797_91767,-48.9918529987,120.818210125,121.02175808,276.902194977,552.722995996,554.160477161
unit.000069,Euclidean_dist_10797_97165,-48.9893848896,123.370179176,123.57375598,277.728977203,521.201687098,523.091065168
unit.000070,Euclidean_dist_10797_102563,-48.9869909286,127.563677073,127.767157078,278.848949194,522.600337982,524.143549204
