,Duration,Framework,Nodes,Optimization
713,30701800.0,MPIC++,2,2
714,30693800.0,MPIC++,2,2
715,30710400.0,MPIC++,2,2
716,30718200.0,MPIC++,2,2
717,30703400.0,MPIC++,2,2
718,30709700.0,MPIC++,2,2
719,30718600.0,MPIC++,2,2
720,15358900.0,MPIC++,4,2
721,15350400.0,MPIC++,4,2
722,15340700.0,MPIC++,4,2
723,15346400.0,MPIC++,4,2
724,15345800.0,MPIC++,4,2
725,15386400.0,MPIC++,4,2
726,15341000.0,MPIC++,4,2
727,15362000.0,MPIC++,4,2
728,15350600.0,MPIC++,4,2
729,15345100.0,MPIC++,4,2
730,15347100.0,MPIC++,4,2
731,15366700.0,MPIC++,4,2
732,15398000.0,MPIC++,4,2
733,16997400.0,MPIC++,4,2
734,15349100.0,MPIC++,4,2
735,15346600.0,MPIC++,4,2
736,15341900.0,MPIC++,4,2
737,15355200.0,MPIC++,4,2
738,15343500.0,MPIC++,4,2
739,15349400.0,MPIC++,4,2
740,15347400.0,MPIC++,4,2
741,15338900.0,MPIC++,4,2
742,15352700.0,MPIC++,4,2
743,15362600.0,MPIC++,4,2
744,15358900.0,MPIC++,4,2
745,17013800.0,MPIC++,4,2
746,15342200.0,MPIC++,4,2
747,15342100.0,MPIC++,4,2
748,15340600.0,MPIC++,4,2
749,15337400.0,MPIC++,4,2
750,15339700.0,MPIC++,4,2
751,15339100.0,MPIC++,4,2
752,15346000.0,MPIC++,4,2
753,15353000.0,MPIC++,4,2
754,15354200.0,MPIC++,4,2
755,15348600.0,MPIC++,4,2
756,15361800.0,MPIC++,4,2
757,15362500.0,MPIC++,4,2
758,15356900.0,MPIC++,4,2
759,15349500.0,MPIC++,4,2
760,15344600.0,MPIC++,4,2
761,15352600.0,MPIC++,4,2
762,15331100.0,MPIC++,4,2
763,15342900.0,MPIC++,4,2
764,15351900.0,MPIC++,4,2
765,15347300.0,MPIC++,4,2
766,15353800.0,MPIC++,4,2
767,15344900.0,MPIC++,4,2
768,15344100.0,MPIC++,4,2
769,15344000.0,MPIC++,4,2
770,15337400.0,MPIC++,4,2
