CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000207,Mapper-1-15,N/A,59.734,N/A,59.749,64.57,64.572,0.005485,1.955905,0.003736

unit.000208,Mapper-1-16,N/A,46.911,N/A,46.926,51.399,51.402,0.006638,1.938169,0.003567

unit.000209,Mapper-1-17,N/A,84.72,N/A,84.734,89.797,89.799,0.005462,1.938793,0.003607

unit.000210,Mapper-1-18,N/A,47.535,N/A,47.559,51.405,51.407,0.006729,1.892761,0.003409

unit.000211,Mapper-1-19,N/A,82.092,N/A,82.107,86.773,86.774,0.007295,1.913172,0.003353

unit.000212,Mapper-1-20,N/A,80.707,N/A,80.738,86.766,86.769,0.007039,1.899889,0.003817

unit.000213,Mapper-1-21,N/A,49.545,N/A,49.569,53.419,53.421,0.0058,1.928495,0.003985

unit.000214,Mapper-1-22,N/A,100.156,N/A,100.181,104.12,104.125,0.00596,1.917126,0.003648

unit.000215,Mapper-1-23,N/A,69.287,N/A,69.302,73.672,73.676,0.005143,1.894016,0.00378

unit.000216,Mapper-1-24,N/A,40.013,N/A,40.028,44.257,44.315,0.006083,1.921426,0.003391

unit.000217,Mapper-1-25,N/A,65.129,N/A,65.153,69.636,69.638,0.00566,1.908373,0.016333

unit.000218,Mapper-1-26,N/A,75.926,N/A,75.941,80.724,80.726,0.004848,1.944173,0.006633

unit.000219,Mapper-1-27,N/A,74.541,N/A,74.556,78.712,78.714,0.005833,1.942357,0.008275

unit.000220,Mapper-1-28,N/A,75.305,N/A,75.321,78.715,78.717,0.006389,1.916406,0.003659

unit.000221,Mapper-1-29,N/A,83.955,N/A,83.978,89.794,89.797,0.006989,1.942374,0.009613

unit.000222,Mapper-1-30,N/A,56.959,N/A,56.974,61.544,61.552,0.0058,1.958923,0.004282

unit.000223,Mapper-1-31,N/A,57.579,N/A,57.611,61.554,61.557,0.006145,1.927544,0.003466

unit.000224,Mapper-1-32,N/A,95.989,N/A,96.019,101.948,102.065,0.005882,1.914523,0.003522

unit.000225,Mapper-1-33,N/A,36.626,N/A,36.642,40.88,40.881,0.006121,1.939798,0.003734

unit.000226,Mapper-1-34,N/A,52.324,N/A,52.348,55.438,55.44,0.005603,1.932212,0.003936

unit.000227,Mapper-1-35,N/A,72.537,N/A,72.561,76.697,76.699,0.005951,1.88703,0.003516

unit.000228,Mapper-1-36,N/A,54.329,N/A,54.353,59.463,59.467,0.006157,1.98507,0.004423

unit.000229,Mapper-1-37,N/A,48.157,N/A,48.181,53.413,53.416,0.006005,1.907198,0.003793

unit.000230,Mapper-1-38,N/A,50.167,N/A,50.193,53.423,53.425,0.005764,1.943948,0.003743

unit.000231,Mapper-1-39,N/A,50.788,N/A,50.813,55.431,55.434,0.00508,1.923455,0.00339

unit.000232,Mapper-1-40,N/A,73.924,N/A,73.947,78.709,78.711,0.005666,1.954127,0.00436

unit.000233,Mapper-1-41,N/A,70.678,N/A,70.702,76.686,76.688,0.005202,1.957122,0.005678

unit.000234,Mapper-1-42,N/A,74.542,N/A,74.566,78.713,78.714,0.005123,1.96156,0.00363

unit.000235,Mapper-1-43,N/A,71.918,N/A,71.941,76.694,76.696,0.005626,1.956318,0.004014

unit.000236,Mapper-1-44,N/A,67.28,N/A,67.294,71.654,71.656,0.005282,1.900643,0.003573

unit.000237,Mapper-1-45,N/A,40.014,N/A,40.038,44.258,44.294,0.005705,1.956901,0.004048

unit.000238,Mapper-1-46,N/A,68.523,N/A,68.538,73.668,73.671,0.004765,1.903101,0.003587

unit.000239,Mapper-1-47,N/A,38.01,N/A,38.027,42.896,42.898,0.00642,1.947535,0.003721

unit.000240,Mapper-1-48,N/A,63.746,N/A,63.77,69.634,69.636,0.0055,2.004357,0.00376

unit.000241,Mapper-1-49,N/A,38.632,N/A,38.655,42.904,42.906,0.005461,1.918908,0.003681

unit.000242,Mapper-1-50,N/A,63.125,N/A,63.143,68.624,68.626,0.006283,1.949046,0.003488

unit.000243,Mapper-1-51,N/A,65.896,N/A,65.92,71.645,71.65,0.005901,1.929777,0.003556

unit.000244,Mapper-1-52,N/A,64.511,N/A,64.526,68.628,68.63,0.004676,1.908397,0.003634

unit.000245,Mapper-1-53,N/A,59.734,N/A,59.758,64.571,64.573,0.00473,1.945472,0.003778

unit.000246,Mapper-1-54,N/A,36.007,N/A,36.022,40.882,40.884,0.006051,1.903004,0.003744

unit.000247,Mapper-1-55,N/A,62.357,N/A,62.371,66.613,66.615,0.005436,1.922594,0.003838

unit.000248,Mapper-1-56,N/A,42.787,N/A,42.811,48.376,48.378,0.006539,1.910643,0.004012

unit.000249,Mapper-1-57,N/A,41.4,N/A,41.414,46.332,46.333,0.005418,1.941536,0.003717

