CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000219,Euclidean_dist_16282_21709,N/A,90.1185781956,N/A,90.5361590385,118.727737188,118.74222517
unit.000220,Euclidean_dist_16282_23518,N/A,114.462320089,N/A,114.884890079,144.735054016,144.761778116
unit.000221,Euclidean_dist_16282_25327,N/A,113.62106514,N/A,114.054568052,142.533209085,142.556461096
unit.000222,Euclidean_dist_16282_27136,N/A,113.369076014,N/A,113.824826002,142.48904109,142.509927034
unit.000223,Euclidean_dist_16282_28945,N/A,112.830569029,N/A,113.223095179,142.493538141,142.519715071
unit.000224,Euclidean_dist_16282_30754,N/A,111.604892015,N/A,112.026374102,141.409533024,141.449368
unit.000225,Euclidean_dist_16282_32563,N/A,111.858590126,N/A,112.259331226,141.415805101,141.44969511
unit.000226,Euclidean_dist_16282_34372,N/A,111.094912052,N/A,111.47608614,140.22943306,140.273652077
unit.000227,Euclidean_dist_16282_36181,N/A,110.793071032,N/A,111.230071068,140.23091507,140.31617403
unit.000228,Euclidean_dist_16282_37990,N/A,118.991683006,N/A,119.405032158,147.684868097,147.705806017
unit.000229,Euclidean_dist_16282_39799,N/A,117.951703072,N/A,118.360469103,148.734804153,148.750120163
unit.000230,Euclidean_dist_16282_41608,N/A,178.207264185,N/A,178.718402147,209.549436092,209.626756191
unit.000231,Euclidean_dist_16282_43417,N/A,177.680691004,N/A,178.02793622,207.356163025,207.384767056
unit.000232,Euclidean_dist_16282_45226,N/A,177.336357117,N/A,177.88863802,207.339336157,207.366849184
unit.000233,Euclidean_dist_16282_47035,N/A,178.525801182,N/A,178.878423214,208.402616024,208.482201099
unit.000234,Euclidean_dist_16282_48844,N/A,176.847460032,N/A,177.186212063,206.231401205,206.271966219
unit.000235,Euclidean_dist_18091_18091,N/A,179.823484182,N/A,180.220647097,195.078757048,195.093277216
unit.000236,Euclidean_dist_18091_19900,N/A,179.322530031,N/A,179.708369017,211.735165119,211.786956072
unit.000237,Euclidean_dist_18091_21709,N/A,182.380320072,N/A,182.835017204,214.967248201,214.991534233
unit.000238,Euclidean_dist_18091_23518,N/A,181.829697132,N/A,182.259666204,210.682512999,210.70900321
unit.000239,Euclidean_dist_18091_25327,N/A,179.011726141,N/A,179.462805033,209.45486021,209.472706079
unit.000240,Euclidean_dist_18091_27136,N/A,211.656598091,N/A,212.065770149,239.833062172,239.860778093
unit.000241,Euclidean_dist_18091_28945,N/A,210.794069052,N/A,211.117008209,240.877760172,240.918100119
unit.000242,Euclidean_dist_18091_30754,N/A,212.343289137,N/A,212.808353186,242.098421097,242.136609077
unit.000243,Euclidean_dist_18091_32563,N/A,211.383089066,N/A,211.798546076,243.173032045,243.202621222
unit.000244,Euclidean_dist_18091_34372,N/A,209.146147013,N/A,209.674072027,237.701682091,237.743227005
unit.000245,Euclidean_dist_18091_36181,N/A,208.128569126,N/A,208.677122116,236.558673143,236.609805107
unit.000246,Euclidean_dist_18091_37990,N/A,210.620491028,N/A,210.902001143,240.933088064,241.097428083
unit.000247,Euclidean_dist_18091_39799,N/A,209.778055191,N/A,210.223563194,238.744176149,238.779534101
unit.000248,Euclidean_dist_18091_41608,N/A,208.944629192,N/A,209.315276146,238.779755116,238.798732042
unit.000249,Euclidean_dist_18091_43417,N/A,206.957862139,N/A,207.699305058,237.631211042,237.680628061
unit.000250,Euclidean_dist_18091_45226,N/A,47.0843660831,N/A,47.4908211231,76.128909111,76.1490221024
unit.000251,Euclidean_dist_18091_47035,N/A,47.8873641491,N/A,48.2952961922,77.1840791702,77.2000820637
unit.000252,Euclidean_dist_18091_48844,N/A,47.3362271786,N/A,47.7424170971,77.1860551834,77.2011680603
unit.000253,Euclidean_dist_19900_19900,N/A,48.1405220032,N/A,48.547522068,63.6627571583,63.6849951744
