,Duration,Framework,Nodes
819,6059,Spark,4
820,6072,Spark,4
821,6075,Spark,4
822,6116,Spark,4
823,6117,Spark,4
824,6122,Spark,4
825,6126,Spark,4
826,6117,Spark,4
827,6129,Spark,4
828,6133,Spark,4
829,6139,Spark,4
830,6144,Spark,4
831,6135,Spark,4
832,6146,Spark,4
833,6151,Spark,4
834,6144,Spark,4
835,6157,Spark,4
836,6160,Spark,4
837,6150,Spark,4
838,6163,Spark,4
839,6157,Spark,4
840,6159,Spark,4
841,6163,Spark,4
842,6166,Spark,4
843,6171,Spark,4
844,6173,Spark,4
845,6185,Spark,4
846,6176,Spark,4
847,6189,Spark,4
848,6178,Spark,4
849,6182,Spark,4
850,6194,Spark,4
851,6199,Spark,4
852,6201,Spark,4
853,6192,Spark,4
854,6206,Spark,4
855,6207,Spark,4
856,6196,Spark,4
857,6199,Spark,4
858,6212,Spark,4
859,6215,Spark,4
860,6216,Spark,4
861,6207,Spark,4
862,6253,Spark,4
863,6255,Spark,4
864,6256,Spark,4
865,6259,Spark,4
866,6269,Spark,4
867,6285,Spark,4
868,6325,Spark,4
869,6326,Spark,4
870,6327,Spark,4
871,6335,Spark,4
872,6340,Spark,4
873,6343,Spark,4
874,6344,Spark,4
875,6355,Spark,4
876,6355,Spark,4
877,6360,Spark,4
878,6370,Spark,4
879,6374,Spark,4
880,6375,Spark,4
881,6382,Spark,4
882,6385,Spark,4
883,6386,Spark,4
884,6388,Spark,4
885,6392,Spark,4
886,6394,Spark,4
887,6398,Spark,4
888,6400,Spark,4
889,6409,Spark,4
890,6410,Spark,4
891,6416,Spark,4
892,6418,Spark,4
893,6418,Spark,4
894,6420,Spark,4
895,6436,Spark,4
896,6441,Spark,4
897,6447,Spark,4
898,6444,Spark,4
899,6445,Spark,4
900,6448,Spark,4
901,6451,Spark,4
902,6455,Spark,4
903,6455,Spark,4
904,6459,Spark,4
905,6461,Spark,4
906,6461,Spark,4
907,6466,Spark,4
908,6594,Spark,4
909,6669,Spark,4
910,6791,Spark,4
911,6795,Spark,4
912,5985,Spark,4
913,5990,Spark,4
914,6036,Spark,4
915,6057,Spark,4
916,6067,Spark,4
917,6091,Spark,4
918,6094,Spark,4
919,6109,Spark,4
920,6113,Spark,4
921,6121,Spark,4
922,6140,Spark,4
923,6142,Spark,4
924,6154,Spark,4
925,6160,Spark,4
926,6165,Spark,4
927,6185,Spark,4
928,6202,Spark,4
929,6227,Spark,4
930,6230,Spark,4
931,6237,Spark,4
932,6240,Spark,4
933,6265,Spark,4
934,6269,Spark,4
935,6272,Spark,4
936,6300,Spark,4
937,6305,Spark,4
938,6278,Spark,4
939,6281,Spark,4
940,6289,Spark,4
941,6294,Spark,4
