['watershed_multi-d1343381-430b-4663-8e8f-d64fc4925615', 'processing', 'memory', 'tcp://10.21.251.6:38385', 47218874676992, [['deserialize', 1527361494.076151, 1527361496.958839], ['compute', 1527361496.9586825, 1527363944.5414646]]]
['watershed_multi-ce83618c-1fc9-4a4f-998a-32c9e3ff49ff', 'processing', 'memory', 'tcp://10.21.251.26:46405', 47880272836352, [['deserialize', 1527361494.075746, 1527361496.82067], ['compute', 1527361496.8218749, 1527363945.2572107]]]
['watershed_multi-f5ef13a1-58bc-491b-a378-3500696a08bc', 'processing', 'memory', 'tcp://10.21.251.6:34542', 47219076003584, [['deserialize', 1527361494.078932, 1527361496.956079], ['compute', 1527361496.957572, 1527363945.865395]]]
['watershed_multi-dbc07d1d-d1d4-4d53-b632-e095b301faf5', 'processing', 'memory', 'tcp://10.21.251.27:43102', 47949153593088, [['deserialize', 1527361494.076697, 1527361500.47618], ['compute', 1527361500.4885256, 1527363946.8258874]]]
['watershed_multi-d7546411-cbe1-4908-9908-5e8ebfb11f3e', 'processing', 'memory', 'tcp://10.21.251.27:35959', 47948348028672, [['deserialize', 1527361494.076147, 1527361499.991268], ['compute', 1527361499.991667, 1527363947.753015]]]
['watershed_multi-66d3bb3f-bb64-4d62-8312-5abd00c5d934', 'processing', 'memory', 'tcp://10.21.251.2:40688', 46948694390528, [['deserialize', 1527361494.068096, 1527361496.920403], ['compute', 1527361496.9201596, 1527363948.0416327]]]
['watershed_multi-372a574a-3796-4e6b-9d0e-b6291f5ee982', 'processing', 'memory', 'tcp://10.21.251.27:35582', 47948952012544, [['deserialize', 1527361494.064459, 1527361499.97514], ['compute', 1527361499.9755518, 1527363949.7493508]]]
['watershed_multi-6e416313-1fa6-4a8a-a223-07830b01a860', 'processing', 'memory', 'tcp://10.21.251.2:43284', 46950305003264, [['deserialize', 1527361494.068769, 1527361496.844434], ['compute', 1527361496.8437753, 1527363951.126562]]]
['watershed_multi-41c69aeb-00d4-4e11-82d4-85bf7cb539e3', 'processing', 'memory', 'tcp://10.21.251.27:37508', 47949958649600, [['deserialize', 1527361494.064735, 1527361499.881032], ['compute', 1527361499.8582828, 1527363952.059954]]]
['watershed_multi-4f72c9c0-ed00-4309-864e-4ac4fe34db4a', 'processing', 'memory', 'tcp://10.21.251.27:44805', 47950763960064, [['deserialize', 1527361494.065747, 1527361499.785959], ['compute', 1527361499.7863805, 1527363953.1907384]]]
