['watershed_multi-a478b3b3-efcb-4a49-a245-f1a74c041c18', 'processing', 'memory', 'tcp://10.21.253.8:35436', 47185183901440, [['deserialize', 1527351320.553167, 1527351324.075872], ['compute', 1527351324.0781097, 1527353781.5584457]]]
['watershed_multi-d04c0924-a11e-46a8-a3bf-c9e582bdb948', 'processing', 'memory', 'tcp://10.21.253.19:38267', 47361145468672, [['deserialize', 1527351320.555643, 1527351328.79585], ['compute', 1527351328.7963185, 1527353784.2188275]]]
['watershed_multi-81ecf2d7-f2d1-4323-b2b5-cc36396aa030', 'processing', 'memory', 'tcp://10.21.253.8:40927', 47184246503168, [['deserialize', 1527351320.551365, 1527351324.07627], ['compute', 1527351324.0766833, 1527353786.2669773]]]
['watershed_multi-3a2d2f3b-564b-4e85-a6b3-6f040f6a473b', 'processing', 'memory', 'tcp://10.21.253.18:44321', 47900969436928, [['deserialize', 1527351320.551216, 1527351324.656997], ['compute', 1527351324.6593666, 1527353786.6497054]]]
['watershed_multi-82bc128c-5ba2-4073-9b02-92f2ddf591f3', 'processing', 'memory', 'tcp://10.21.253.8:42544', 47183038543616, [['deserialize', 1527351320.551203, 1527351324.159072], ['compute', 1527351324.1593783, 1527353787.1831822]]]
['watershed_multi-8711aeee-f44f-4a7c-8148-8a74a78dea38', 'processing', 'memory', 'tcp://10.21.253.8:43660', 47183240132352, [['deserialize', 1527351320.551227, 1527351324.14189], ['compute', 1527351324.1425261, 1527353787.515594]]]
['watershed_multi-e6f17bd6-7352-4587-a74f-02ddabd31d8f', 'processing', 'memory', 'tcp://10.21.253.18:42034', 47900566525696, [['deserialize', 1527351320.557331, 1527351324.656997], ['compute', 1527351324.6591966, 1527353787.6312137]]]
['watershed_multi-e7c4f7ec-41c5-45cc-aefb-a4568ae024ec', 'processing', 'memory', 'tcp://10.21.253.18:46384', 47900767835904, [['deserialize', 1527351320.557738, 1527351324.657185], ['compute', 1527351324.657823, 1527353789.304611]]]
['watershed_multi-6ee48f3e-e233-4d4c-89e0-368660572269', 'processing', 'memory', 'tcp://10.21.253.8:34419', 47185989469952, [['deserialize', 1527351320.549174, 1527351324.075779], ['compute', 1527351324.078692, 1527353790.5082388]]]
['watershed_multi-42fd8e4b-d278-4935-8b89-af399204b84f', 'processing', 'memory', 'tcp://10.21.253.19:32917', 47360340424448, [['deserialize', 1527351320.546804, 1527351328.863341], ['compute', 1527351328.8641474, 1527353793.2153425]]]
['watershed_multi-c98b5882-b7a1-4b92-98c1-1cbb16af7a7e', 'processing', 'memory', 'tcp://10.21.253.19:39858', 47361749710592, [['deserialize', 1527351320.554499, 1527351330.179418], ['compute', 1527351330.1952326, 1527353793.4776456]]]
['watershed_multi-6266f49a-b2c8-42d1-bcf9-29dd2dd9574d', 'processing', 'memory', 'tcp://10.21.253.19:43261', 47362353424128, [['deserialize', 1527351320.548014, 1527351335.343372], ['compute', 1527351335.346013, 1527353794.522243]]]
['watershed_multi-51d0d4f3-d70a-449b-a732-95c76c840018', 'processing', 'memory', 'tcp://10.21.253.19:39745', 47361950779136, [['deserialize', 1527351320.547294, 1527351328.901418], ['compute', 1527351328.9018211, 1527353795.51169]]]
['watershed_multi-eb9045db-4134-43be-9df4-c14f16e731b0', 'processing', 'memory', 'tcp://10.21.253.19:43126', 47359736182528, [['deserialize', 1527351320.557874, 1527351333.289484], ['compute', 1527351333.301371, 1527353795.9618611]]]
