['watershed_multi-bf764350-e468-4fec-8fe9-a9e683c9a8de', 'processing', 'memory', 'tcp://10.21.250.231:33343', 47525427967744, [['deserialize', 1527405458.570412, 1527405461.999995], ['compute', 1527405462.000611, 1527407838.882727]]]
['watershed_multi-e82054a9-59c3-4470-aecc-d3d7055bfa7d', 'processing', 'memory', 'tcp://10.21.250.233:41698', 47823122888448, [['deserialize', 1527405458.577124, 1527405461.763441], ['compute', 1527405461.763974, 1527407838.903657]]]
['watershed_multi-006deb99-6b30-4234-8aae-3af51891c9ee', 'processing', 'memory', 'tcp://10.21.250.222:34393', 47501467977472, [['deserialize', 1527405458.538772, 1527405461.768327], ['compute', 1527405461.7702136, 1527407839.0541797]]]
['watershed_multi-d607d0ff-9137-4e68-98fb-44d8cbc4c790', 'processing', 'memory', 'tcp://10.21.250.231:39889', 47524220008192, [['deserialize', 1527405458.574117, 1527405462.000123], ['compute', 1527405462.000789, 1527407839.5156739]]]
['watershed_multi-0184c78e-6d3e-4d85-8917-1ab27e557cad', 'processing', 'memory', 'tcp://10.21.250.222:35757', 47505091868416, [['deserialize', 1527405458.539019, 1527405461.768308], ['compute', 1527405461.768064, 1527407839.740158]]]
['watershed_multi-b22db662-5548-4c49-ae5a-c1a7c66cbea8', 'processing', 'memory', 'tcp://10.21.250.235:44203', 47466573498112, [['deserialize', 1527405458.56971, 1527405462.046861], ['compute', 1527405462.022612, 1527407840.4306152]]]
['watershed_multi-34896a72-7eb9-46b9-8c5e-d0293eb05081', 'processing', 'memory', 'tcp://10.21.250.233:37170', 47824934827776, [['deserialize', 1527405458.54552, 1527405461.699185], ['compute', 1527405461.7001684, 1527407840.8466923]]]
['watershed_multi-a44a20bb-8aed-4d73-a19b-f354e680d65d', 'processing', 'memory', 'tcp://10.21.250.238:34155', 47356246521600, [['deserialize', 1527405458.566137, 1527405464.881738], ['compute', 1527405464.882334, 1527407842.055378]]]
['watershed_multi-cc332296-80fc-4059-bb51-7418ef96d6a2', 'processing', 'memory', 'tcp://10.21.250.233:43710', 47824532174592, [['deserialize', 1527405458.572376, 1527405461.699182], ['compute', 1527405461.7014246, 1527407842.4472744]]]
['watershed_multi-3b6535e4-7db2-4a66-87f3-c5c75cdf3808', 'processing', 'memory', 'tcp://10.21.250.233:41440', 47824330848000, [['deserialize', 1527405458.549141, 1527405461.772678], ['compute', 1527405461.7731695, 1527407842.4759574]]]
['watershed_multi-24a3321e-4cc7-4485-91e1-66317670217d', 'processing', 'memory', 'tcp://10.21.250.229:44734', 46928714643200, [['deserialize', 1527405458.542068, 1527405461.953148], ['compute', 1527405461.9541826, 1527407842.8888464]]]
['watershed_multi-9db0d47e-8ebe-4f3b-aa55-150166ff74c3', 'processing', 'memory', 'tcp://10.21.250.235:44411', 47464761554688, [['deserialize', 1527405458.565704, 1527405462.137279], ['compute', 1527405462.1371582, 1527407843.571355]]]
['watershed_multi-db112827-4fcc-4132-81fe-5b9fe6610ac7', 'processing', 'memory', 'tcp://10.21.250.238:36624', 47355843868416, [['deserialize', 1527405458.574666, 1527405464.780263], ['compute', 1527405464.7815635, 1527407844.0721025]]]
['watershed_multi-3695d568-532d-437a-82d3-d96512dd6d5b', 'processing', 'memory', 'tcp://10.21.250.233:39476', 47823928456960, [['deserialize', 1527405458.545713, 1527405461.797965], ['compute', 1527405461.7984784, 1527407844.7010324]]]
['watershed_multi-aac5fc47-95c0-4280-86d8-9a14165befec', 'processing', 'memory', 'tcp://10.21.250.229:39432', 46930709214976, [['deserialize', 1527405458.566973, 1527405461.953163], ['compute', 1527405461.9552748, 1527407844.774572]]]
['watershed_multi-b992349c-86a3-48d9-97f8-7f6050637231', 'processing', 'memory', 'tcp://10.21.250.238:41475', 47355841742592, [['deserialize', 1527405458.569816, 1527405464.853049], ['compute', 1527405464.8540254, 1527407846.6025245]]]
['watershed_multi-ef3df0de-8f66-4d34-9a97-46f574dea344', 'processing', 'memory', 'tcp://10.21.250.237:43276', 47907210303232, [['deserialize', 1527405458.57905, 1527405462.847993], ['compute', 1527405462.8500264, 1527407846.8980045]]]
['watershed_multi-25efa890-f249-45aa-abe9-31a8f6ecf435', 'processing', 'memory', 'tcp://10.21.250.231:33870', 47524421334784, [['deserialize', 1527405458.543194, 1527405461.987783], ['compute', 1527405461.9887397, 1527407847.7257998]]]
