,Nodes,Run,ID,Measurement,Duration
538,2,4,35,Communication,4.00543212891e-05
539,2,4,35,Barrier,143.278708935
540,2,4,36,Execution,143.856300116
541,2,4,36,Communication,5.79357147217e-05
542,2,4,36,Barrier,143.798074961
543,2,4,37,Execution,143.955528975
544,2,4,37,Communication,4.6968460083e-05
545,2,4,37,Barrier,143.699104071
546,2,4,38,Execution,143.881407022
547,2,4,38,Communication,4.91142272949e-05
548,2,4,38,Barrier,143.773469925
549,2,4,39,Execution,143.80320406
550,2,4,39,Communication,4.29153442383e-05
551,2,4,39,Barrier,143.851522923
552,2,4,40,Execution,143.80545187
553,2,4,40,Communication,5.3882598877e-05
554,2,4,40,Barrier,143.849390984
555,2,4,41,Execution,143.856415987
556,2,4,41,Communication,4.10079956055e-05
557,2,4,41,Barrier,143.7984519
558,2,4,42,Execution,143.63733387
559,2,4,42,Communication,5.41210174561e-05
560,2,4,42,Barrier,144.017374992
561,2,4,43,Execution,143.827495813
562,2,4,43,Communication,4.29153442383e-05
563,2,4,43,Barrier,143.827178955
564,2,4,44,Execution,143.805446148
565,2,4,44,Communication,5.48362731934e-05
566,2,4,44,Barrier,143.849217892
567,2,4,45,Execution,144.042582989
568,2,4,45,Communication,4.10079956055e-05
569,2,4,45,Barrier,143.611874104
570,2,4,46,Execution,144.038891792
571,2,4,46,Communication,5.69820404053e-05
572,2,4,46,Barrier,143.615694046
573,2,4,47,Execution,143.804049969
574,2,4,47,Communication,4.07695770264e-05
575,2,4,47,Barrier,143.85064888
576,2,5,0,Execution,123.682283878
577,2,5,0,Communication,0.000113964080811
578,2,5,0,Barrier,44.4076650143
579,2,5,1,Execution,114.546107054
580,2,5,1,Communication,4.91142272949e-05
581,2,5,1,Barrier,56.3498120308
582,2,5,2,Execution,114.393280983
583,2,5,2,Communication,4.6968460083e-05
584,2,5,2,Barrier,56.5027329922
585,2,5,3,Execution,111.487466097
586,2,5,3,Communication,4.00543212891e-05
587,2,5,3,Barrier,56.5917859077
588,2,5,4,Execution,111.365597963
589,2,5,4,Communication,4.91142272949e-05
590,2,5,4,Barrier,56.7096390724
591,2,5,5,Execution,111.489842892
592,2,5,5,Communication,3.91006469727e-05
593,2,5,5,Barrier,56.5852530003
594,2,5,6,Execution,111.344774008
595,2,5,6,Communication,5.41210174561e-05
596,2,5,6,Barrier,56.7329189777
597,2,5,7,Execution,111.350226164
598,2,5,7,Communication,3.69548797607e-05
599,2,5,7,Barrier,56.7275989056
600,2,5,8,Execution,111.451859951
601,2,5,8,Communication,5.10215759277e-05
602,2,5,8,Barrier,56.6248779297
603,2,5,9,Execution,114.439333916
604,2,5,9,Communication,3.81469726562e-05
605,2,5,9,Barrier,56.4566650391
606,2,5,10,Execution,114.259371996
607,2,5,10,Communication,4.88758087158e-05
608,2,5,10,Barrier,56.6254739761
609,2,5,11,Execution,111.4535501
610,2,5,11,Communication,3.91006469727e-05
611,2,5,11,Barrier,56.6244490147
612,2,5,12,Execution,109.982484102
613,2,5,12,Communication,5.79357147217e-05
614,2,5,12,Barrier,58.0941648483
615,2,5,13,Execution,110.302597046
616,2,5,13,Communication,3.81469726562e-05
617,2,5,13,Barrier,57.7744648457
618,2,5,14,Execution,109.785338879
619,2,5,14,Communication,5.00679016113e-05
620,2,5,14,Barrier,58.2914969921
621,2,5,15,Execution,112.938172817
622,2,5,15,Communication,3.60012054443e-05
623,2,5,15,Barrier,57.9578120708
624,2,5,16,Execution,112.718852043
625,2,5,16,Communication,9.20295715332e-05
626,2,5,16,Barrier,58.1771640778
627,2,5,17,Execution,112.587043047
628,2,5,17,Communication,3.91006469727e-05
629,2,5,17,Barrier,58.3088920116
630,2,5,18,Execution,109.579128981
631,2,5,18,Communication,4.60147857666e-05
632,2,5,18,Barrier,58.4979410172
633,2,5,19,Execution,112.693660021
634,2,5,19,Communication,4.29153442383e-05
635,2,5,19,Barrier,58.2023510933
636,2,5,20,Execution,61.7619740963
637,2,5,20,Communication,5.31673431396e-05
638,2,5,20,Barrier,6.69956207275e-05
639,2,5,21,Execution,109.627592802
640,2,5,21,Communication,3.91006469727e-05
641,2,5,21,Barrier,58.4493551254
642,2,5,22,Execution,110.275826931
643,2,5,22,Communication,5.10215759277e-05
644,2,5,22,Barrier,57.8011119366
645,2,5,23,Execution,112.771831036
646,2,5,23,Communication,4.19616699219e-05
647,2,5,23,Barrier,58.1240730286
648,2,5,24,Execution,112.710438013
649,2,5,24,Communication,0.000107049942017
650,2,5,24,Barrier,55.1809329987
651,2,5,25,Execution,112.764717102
652,2,5,25,Communication,4.6968460083e-05
653,2,5,25,Barrier,55.126636982
654,2,5,26,Execution,112.564437866
655,2,5,26,Communication,5.41210174561e-05
656,2,5,26,Barrier,55.3270690441
657,2,5,27,Execution,112.620929956
658,2,5,27,Communication,0.000170946121216
659,2,5,27,Barrier,55.2705638409
660,2,5,28,Execution,112.606611013
661,2,5,28,Communication,6.07967376709e-05
662,2,5,28,Barrier,55.2848069668
663,2,5,29,Execution,112.539506912
664,2,5,29,Communication,4.57763671875e-05
665,2,5,29,Barrier,55.3519690037
666,2,5,30,Execution,112.615869999
667,2,5,30,Communication,5.88893890381e-05
668,2,5,30,Barrier,55.2743399143
669,2,5,31,Execution,112.445706129
670,2,5,31,Communication,6.29425048828e-05
671,2,5,31,Barrier,55.4446117878
672,2,5,32,Execution,112.686205864
673,2,5,32,Communication,9.29832458496e-05
674,2,5,32,Barrier,55.2051122189
675,2,5,33,Execution,112.50625205
676,2,5,33,Communication,5.00679016113e-05
677,2,5,33,Barrier,55.3851408958
678,2,5,34,Execution,112.599532127
679,2,5,34,Communication,5.88893890381e-05
680,2,5,34,Barrier,55.2918589115
681,2,5,35,Execution,112.614310026
682,2,5,35,Communication,6.50882720947e-05
683,2,5,35,Barrier,55.2769210339
684,2,5,36,Execution,111.580260992
685,2,5,36,Communication,7.89165496826e-05
686,2,5,36,Barrier,56.3096299171
687,2,5,37,Execution,112.023179054
688,2,5,37,Communication,4.60147857666e-05
689,2,5,37,Barrier,55.8682129383
690,2,5,38,Execution,111.66032505
691,2,5,38,Communication,7.10487365723e-05
692,2,5,38,Barrier,56.2308189869
693,2,5,39,Execution,112.010334969
694,2,5,39,Communication,4.81605529785e-05
695,2,5,39,Barrier,55.8809909821
696,2,5,40,Execution,111.937795877
