['block_rmsd-89a5f1bbc04f933a1482a1aa2a653158', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495737670.2626362, 1495737678.2268872)]]
['getitem-96cb5318f2616b11f2eedbb28749a443', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737678.241114, 1495737678.241122)]]
['getitem-07d39436e6b9a10d3acc07a35a29aa47', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737678.241661, 1495737678.241666)]]
['getitem-7438c6a0b9437f1a51e4c527e00a0f9f', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737678.2421129, 1495737678.242118)]]
['getitem-61a4d6038b1866026a2337299851243c', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737678.24252, 1495737678.242525)]]
['getitem-f9c6f57c17ad35b1ad3dee5cbb90e22d', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737678.243013, 1495737678.243017)]]
['getitem-c999ebd58b5f65d19f0a0d385305f734', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737678.24119, 1495737678.241199)]]
['getitem-68563f10d4e504a3578dcb5a56283307', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737678.2419238, 1495737678.241932)]]
['getitem-321c9baf6be73d15d435f13091b7fc18', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737678.242524, 1495737678.2425308)]]
['getitem-3b3160aee9d7a39a94949320c31e466f', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737678.243098, 1495737678.243105)]]
['getitem-af78ab60a9a6c97971119d47af903e8a', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737678.2436988, 1495737678.243706)]]
['getitem-353a907a86c0502184d3fe62f71d1711', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737678.241245, 1495737678.241253)]]
['getitem-85451f044c3d10b0f84151e5ef18be53', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737678.241841, 1495737678.241846)]]
['getitem-25d640db57b9d0729a20a21a7fd58017', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737678.242234, 1495737678.242239)]]
['getitem-0ed67783a7de620a673da5d0da24d4c5', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737678.242663, 1495737678.242667)]]
['getitem-9ef27a365780420fa3f9b4ffdf473fd6', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737678.243031, 1495737678.243035)]]
['getitem-eb933241d9ba117957c9574dac3b7869', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737678.241555, 1495737678.241564)]]
['getitem-628622178c91eae54f222b04a9ed8181', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737678.242143, 1495737678.242148)]]
['getitem-ce60c156c5fd07eedae5f739ca6cd69b', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737678.242545, 1495737678.2425508)]]
['getitem-7c19289ac1fc30b01e7f6b9c75216f03', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737678.242966, 1495737678.242971)]]
['getitem-f3eb8006702787984a3bedadc3a4adb0', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495737678.243464, 1495737678.243469)]]
['getitem-62e8a61a1a0cf6315013d8cd8757bc27', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495737678.2426639, 1495737678.2426748)]]
['getitem-edaed8521390007f35524b0497dbf332', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495737678.243392, 1495737678.2433999)]]
['getitem-f0ffab35352d7d263de519c3030292a5', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495737678.243892, 1495737678.2438989)]]
['getitem-4cd27af0637ed9aaafff67e00ace8e26', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495737678.2444, 1495737678.244408)]]
['getitem-a8347f141a146285786995e3bd5aa742', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495737678.2453818, 1495737678.245403)]]
['getitem-ed4eaf256b211fd622b47f46cf4bfc36', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737678.240462, 1495737678.240468)]]
['getitem-80383f6eb5e4dc97aa77500f401b75bf', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737678.241051, 1495737678.241056)]]
['getitem-89956fcab77cfc3b014b190f44c8bee9', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737678.241466, 1495737678.24147)]]
