['getitem-ba6cbbf30c645af00015db3deba9c716', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737623.526033, 1495737623.526038)]]
['getitem-deb0fe20b70db7b29f049d36d3e4e576', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737623.5264559, 1495737623.52646)]]
['getitem-ff51188a301f4f976ae249f9883f28ea', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737623.526888, 1495737623.526892)]]
['getitem-bdc2a8a64c1cf1d84a18baa8b3e0834f', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737623.534469, 1495737623.534476)]]
['getitem-33fb9a48c893076f816c10646e740103', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737623.535273, 1495737623.535282)]]
['getitem-edebedf439bd8a45af30bb221d7b27c5', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737623.535762, 1495737623.535769)]]
['getitem-72a2e4ff727702fd5ffa9b4469ed071c', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737623.536274, 1495737623.53628)]]
['getitem-e75b66b406e30dfed385b171db7baf79', 'processing', 'memory', 'tcp://129.114.90.206:51771', 47053804279552, [('compute', 1495737623.536836, 1495737623.5368419)]]
['getitem-360017145d7b08b2ef7d7014197994e9', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737623.546828, 1495737623.546835)]]
['getitem-08cf66ebdb8db436efaeceda21e07e4b', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737623.547514, 1495737623.5475218)]]
['getitem-17c26a0962aded250dcaf25a1a0cbd3a', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737623.548001, 1495737623.548008)]]
['getitem-cb7ae8a563f30becb1f7c85e1dbc90bf', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737623.5485299, 1495737623.548536)]]
['getitem-f068848faa94b756be8cb1a2842df961', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737623.549272, 1495737623.549279)]]
['block_rmsd-2b8c5143e5c7d846f87758b244ec9d0d', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737613.519242, 1495737623.536739)]]
['getitem-bd431109eb54a9543d2fc3b9d0364d22', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737623.5343409, 1495737623.534347)]]
['getitem-c97a2b67b47ff8d4f3e7fc2855198f6a', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737623.534922, 1495737623.534929)]]
['getitem-e888ac0b62de1d2141942c7041003eb4', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737623.535343, 1495737623.535349)]]
['getitem-593173d0a5cfdc15ac8c7e1cd2858b9d', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737623.535767, 1495737623.535771)]]
['getitem-b2db242b1337b8ca4b9da54440c53430', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737623.536184, 1495737623.536188)]]
['block_rmsd-92f8a52eb8f66dcba39321f95ac8d2d3', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737613.510658, 1495737623.552783)]]
['getitem-5830403b7ffc3002f79169f70ae636d7', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737623.563613, 1495737623.563621)]]
['getitem-bf2e5ce09f9b6e4f7459983ed921eaa7', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737623.565128, 1495737623.565136)]]
['getitem-dcc86353ee37e69592e67dfeec2f5861', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737623.5644221, 1495737623.564431)]]
['getitem-c8d407cac45c523007e04acd3082da3c', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737623.564897, 1495737623.564903)]]
['getitem-885227afe838f2963b3723a9c586df33', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737623.565561, 1495737623.565567)]]
['getitem-aa5123f6933f226efb56b16d674feb6a', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737623.5663521, 1495737623.566358)]]
['getitem-4b079fce094b696f3d707021e32c32ce', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737623.5657961, 1495737623.5658062)]]
['getitem-2cbb5be9d60d16b63a308aff94ed6410', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737623.5662642, 1495737623.566273)]]
['getitem-213cab6e7e70ffd648619af0b6cfcfef', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737623.566781, 1495737623.5667892)]]
['getitem-b87abbe33feb5f6eb9f5d6099a53f739', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737623.567324, 1495737623.5673401)]]
['block_rmsd-389bd336b0840fa5f28a2e9c99a936da', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495737613.519491, 1495737623.577859)]]
['getitem-454e149501ac9a49aa5538f262682316', 'processing', 'memory', 'tcp://129.114.90.154:56667', 47744891332352, [('compute', 1495737623.582062, 1495737623.582071)]]
