['getitem-d24fd1fd62de14a82ddb822668fd10b7', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741450.382508, 1495741450.3825128)]]
['getitem-f7985402690c5ecffc84c37a52f91627', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495741450.3829439, 1495741450.382948)]]
['block_rmsd-106b3008d0546d7790e61d4977a6814f', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741424.363491, 1495741450.384253)]]
['getitem-c89e82011f920ba46515492e85dc79ff', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741450.392252, 1495741450.392259)]]
['getitem-cdd585377774b135cd759376a2a03925', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741450.393014, 1495741450.393024)]]
['getitem-9e19d93a1190061f5bc5c3f88fc4ae35', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741450.393527, 1495741450.393535)]]
['getitem-90e0ecfc0016cc19dab378356643a665', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741450.394045, 1495741450.394062)]]
['getitem-ce03f2e633fdd1537a7a7aa4ff17639c', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741450.394571, 1495741450.394578)]]
['block_rmsd-a4496a52aa8935f68afd3a9ccba074ed', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741424.380103, 1495741450.429517)]]
['getitem-23c7dbeab365c743c0a447c7062d2727', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741450.433742, 1495741450.43375)]]
['getitem-99fde6b1893f1e13f38eacf85665e922', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741450.434427, 1495741450.434437)]]
['getitem-ef492927e8b6daa63c597842c2ef00a7', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741450.434914, 1495741450.434923)]]
['getitem-3a8418288a079c41857ac4a66a922800', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741450.435425, 1495741450.435433)]]
['getitem-951614faaaaa8bd150d9c68d94d0b41f', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741450.436072, 1495741450.436079)]]
['block_rmsd-3659ca2b5ba90d1b3a532491320ba12e', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741424.3668509, 1495741450.43621)]]
['getitem-34e88c528066ad2ab599aa71e053c67c', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741450.440089, 1495741450.440099)]]
['getitem-d7b62dfe95751e41a0e2b3637229847f', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741450.440789, 1495741450.440809)]]
['getitem-f6b39c5faf7a5cdb9c7d3c24abb6ce11', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741450.441289, 1495741450.441298)]]
['getitem-3e55776e24de860e127804e00e70996e', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741450.441839, 1495741450.4418468)]]
['getitem-da368e9004c8e20fa0868e1885351542', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495741450.4424028, 1495741450.442421)]]
['block_rmsd-7e89dbd672fbdf3288365c09ee0f968d', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495741424.368736, 1495741450.463818)]]
['getitem-4c2d991a7891da1f896297d75b5ac9be', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495741450.468021, 1495741450.468029)]]
['getitem-e4c43750c19ac0c0537d63d841695694', 'processing', 'memory', 'tcp://129.114.90.205:37678', 47267737278208, [('compute', 1495741450.468771, 1495741450.468781)]]
