t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508429574,10867,5.685749,0.112798,0.000301,0.413621,0.060486,0.091651,0.213983,0.558610,2.858142,3.895909,8.487556,6.445455,8.708913,7.373057,calls/second,milliseconds
1508429584,11453,9.443892,0.118756,0.000116,0.511028,0.061033,0.099345,0.215584,0.418174,2.593857,9.443892,8.875915,14.826755,10.360546,7.940894,calls/second,milliseconds
1508429594,11453,9.443892,0.118756,0.000116,0.511028,0.061033,0.099345,0.215584,0.418174,2.593857,9.443892,8.807662,12.550577,10.020887,7.853150,calls/second,milliseconds
1508429604,11453,9.443892,0.118756,0.000116,0.511028,0.061033,0.099345,0.215584,0.418174,2.593857,9.443892,8.740447,10.623834,9.692363,7.766376,calls/second,milliseconds
1508429614,11453,9.443892,0.118756,0.000116,0.511028,0.061033,0.099345,0.215584,0.418174,2.593857,9.443892,8.674253,8.992881,9.374610,7.680560,calls/second,milliseconds
1508429624,11453,9.443892,0.118756,0.000116,0.511028,0.061033,0.099345,0.215584,0.418174,2.593857,9.443892,8.609044,7.612310,9.067274,7.595693,calls/second,milliseconds
1508429634,11453,9.443892,0.118756,0.000116,0.511028,0.061033,0.099345,0.215584,0.418174,2.593857,9.443892,8.544816,6.443681,8.770013,7.511764,calls/second,milliseconds
1508429644,12039,3.876302,0.099943,0.000116,0.360093,0.059724,0.089599,0.189552,0.369129,2.578254,3.719050,8.915502,14.825253,10.419644,8.078067,calls/second,milliseconds
1508429654,12039,3.876302,0.099943,0.000116,0.360093,0.059724,0.089599,0.189552,0.369129,2.578254,3.719050,8.849956,12.549306,10.078047,7.988808,calls/second,milliseconds
1508429664,12039,3.876302,0.099943,0.000116,0.360093,0.059724,0.089599,0.189552,0.369129,2.578254,3.719050,8.785376,10.622758,9.747649,7.900535,calls/second,milliseconds
1508429674,12039,3.876302,0.099943,0.000116,0.360093,0.059724,0.089599,0.189552,0.369129,2.578254,3.719050,8.721727,8.991970,9.428083,7.813237,calls/second,milliseconds
1508429684,12039,3.876302,0.099943,0.000116,0.360093,0.059724,0.089599,0.189552,0.369129,2.578254,3.719050,8.659010,7.611539,9.118994,7.726904,calls/second,milliseconds
1508429694,12039,3.876302,0.099943,0.000116,0.360093,0.059724,0.089599,0.189552,0.369129,2.578254,3.719050,8.597166,6.443028,8.820038,7.641524,calls/second,milliseconds
1508429704,12625,4.674443,0.110899,0.000206,0.432754,0.059486,0.084782,0.199884,0.754554,3.030077,4.674443,8.951715,14.824700,10.468028,8.206394,calls/second,milliseconds
1508429714,12625,4.674443,0.110899,0.000206,0.432754,0.059486,0.084782,0.199884,0.754554,3.030077,4.674443,8.888682,12.548838,10.124845,8.115717,calls/second,milliseconds
1508429724,12625,4.674443,0.110899,0.000206,0.432754,0.059486,0.084782,0.199884,0.754554,3.030077,4.674443,8.826545,10.622362,9.792914,8.026041,calls/second,milliseconds
1508429734,12625,4.674443,0.110899,0.000206,0.432754,0.059486,0.084782,0.199884,0.754554,3.030077,4.674443,8.765267,8.991635,9.471864,7.937357,calls/second,milliseconds
1508429744,12625,4.674443,0.110899,0.000206,0.432754,0.059486,0.084782,0.199884,0.754554,3.030077,4.674443,8.704819,7.611255,9.161339,7.849652,calls/second,milliseconds
1508429754,12625,4.674443,0.110899,0.000206,0.432754,0.059486,0.084782,0.199884,0.754554,3.030077,4.674443,8.645210,6.442788,8.860995,7.762916,calls/second,milliseconds
1508429764,13211,4.674443,0.102952,0.000216,0.379210,0.059803,0.088188,0.180319,0.566149,2.596511,4.183725,8.984977,14.824497,10.507642,8.326445,calls/second,milliseconds
