Executable,Number_Messages,Nodes,TTC,Throughput,System,parallel_tasks,Partitions,Dask-Config,Dask_Nodes
PeakFinder,500,1.0,32.5252819061,15.3726569209,Wrangler,11,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,33.828248024,14.7805467089,Wrangler,12,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,28.6915168762,17.4267537738,Wrangler,13,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,57.8244020939,8.64686848276,Wrangler,14,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,29.3717670441,17.0231501309,Wrangler,15,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,49.5561158657,10.0895720188,Wrangler,16,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,43.9656260014,11.3725208868,Wrangler,17,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,63.6429040432,7.8563354001,Wrangler,18,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,50.1560089588,9.9688952606,Wrangler,19,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,45.1586170197,11.0720839786,Wrangler,20,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,59.8787808418,8.35020341047,Wrangler,21,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,49.1535201073,10.1722114491,Wrangler,22,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,50.2120919228,9.95776078736,Wrangler,23,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,49.0204820633,10.1998180955,Wrangler,24,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,94.8377861977,5.27216018052,Wrangler,1,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,58.5316967964,8.54238006698,Wrangler,2,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,48.0519080162,10.4054140749,Wrangler,3,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,44.1914300919,11.3144109381,Wrangler,4,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,47.0091359615,10.6362303789,Wrangler,5,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,49.4020030499,10.121047106,Wrangler,6,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,38.4300310612,13.0106582325,Wrangler,7,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,36.0444660187,13.8717549524,Wrangler,8,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,35.2500638962,14.1843714517,Wrangler,9,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,34.0917639732,14.6662988865,Wrangler,10,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,30.5224869251,16.3813650318,Wrangler,11,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,30.7013819218,16.2859118614,Wrangler,12,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,38.2925348282,13.0573753407,Wrangler,13,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,43.4512400627,11.5071514479,Wrangler,14,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,29.0798830986,17.1940168502,Wrangler,15,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,30.6461071968,16.3152858792,Wrangler,16,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,29.1446368694,17.1558150558,Wrangler,17,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,29.1622810364,17.1454352071,Wrangler,18,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,33.7697899342,14.806132966,Wrangler,19,24,kafka-gpfs-producer_linger_5s,1.0
PeakFinder,500,1.0,30.1279859543,16.5958654109,Wrangler,20,24,kafka-gpfs-producer_linger_5s,1.0
