CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000083,Euclidean_dist_4097_77825,N/A,26.4545559883,26.4545559883,95.6197071075,95.6218299866,95.6230671406,95.6233160496,95.6375610828,96.2936730385,96.2985329628,96.3016080856,29.046257019,29.0728881359
unit.000084,Euclidean_dist_4097_81921,N/A,68.2352211475,68.2352211475,137.521270037,137.524497032,137.530586004,137.533700943,137.535052061,138.324293137,138.325814962,138.330506086,71.3975820541,71.424685955
unit.000085,Euclidean_dist_4097_86017,N/A,-1.4401049614,-1.4401049614,67.7277960777,67.730618,67.7318880558,67.7322580814,67.7458231449,68.5391850471,68.5403580666,68.5442481041,1.24346804619,1.27048707008
unit.000086,Euclidean_dist_4097_90113,N/A,7.6150701046,7.6150701046,76.784455061,76.7872560024,76.7883861065,76.7886681557,76.8029329777,77.4882390499,77.4940619469,77.4972960949,11.1796791553,11.2063291073
unit.000087,Euclidean_dist_4097_94209,N/A,98.175027132,98.175027132,167.323930025,167.327355146,167.328780174,167.329148054,167.330413103,168.106501102,168.107964993,168.113079071,101.440255165,101.469227076
unit.000088,Euclidean_dist_4097_98305,N/A,207.989673138,207.989673138,277.011544943,277.014145136,277.015402079,277.015675068,277.016859055,277.758229017,277.759639025,277.764459133,211.055783987,211.082731009
unit.000089,Euclidean_dist_4097_102401,N/A,121.336023092,121.336023092,190.336555958,190.338901997,190.340255022,190.34059,190.341928005,191.042256117,191.043931961,191.047904968,123.90546608,123.932204962
unit.000090,Euclidean_dist_4097_106497,N/A,120.063142061,120.063142061,189.133689165,189.136679173,189.137936115,189.138219118,189.139382124,189.83586812,189.837447166,189.841163158,122.77443409,122.801056147
unit.000091,Euclidean_dist_4097_110593,N/A,119.915323973,119.915323973,188.985381126,188.988340139,188.989619017,188.989900112,188.99128294,189.734647989,189.736088037,189.739850044,122.77297616,122.800086975
unit.000092,Euclidean_dist_4097_114689,N/A,121.440056086,121.440056086,190.484287977,190.48708415,190.488201141,190.488456964,190.489606142,191.143588066,191.144996166,191.148125172,123.907521963,123.934149981
unit.000093,Euclidean_dist_4097_118785,N/A,123.501156092,123.501156092,192.589040995,192.591737986,192.593014956,192.593325138,192.594748974,193.355808973,193.357455015,193.361021042,126.115522146,126.142095089
unit.000094,Euclidean_dist_4097_122881,N/A,124.864889145,124.864889145,193.939860106,193.942989111,193.944304943,193.944617987,193.946001053,194.663248062,194.664669991,194.668656111,127.247490168,127.273810148
unit.000095,Euclidean_dist_4097_126977,N/A,126.238643169,126.238643169,195.288089991,195.290858984,195.292247057,195.292559147,195.294065952,195.970904112,195.972390175,195.976886988,129.410355091,129.437427998
unit.000096,Euclidean_dist_8193_1,N/A,127.650118113,127.650118113,196.784638166,196.787599087,196.789638042,196.789927959,196.791149139,197.479143143,197.480518103,197.483925104,130.542696953,130.569959164
unit.000097,Euclidean_dist_8193_4097,N/A,129.095731974,129.095731974,198.186258078,198.190525055,198.193699121,198.196747065,198.197937965,198.988379955,198.989854097,198.994352102,132.711424112,132.73902297
unit.000098,Euclidean_dist_8193_8193,N/A,131.068652153,131.068652153,200.147305012,200.150959015,200.152369976,200.152667046,200.154178143,200.899136066,200.900588989,200.904791117,133.897072077,133.924648046
unit.000099,Euclidean_dist_8193_12289,N/A,132.540838957,132.540838957,201.51482296,201.517158985,201.518284082,201.518532038,201.532886982,202.207597971,202.213068008,202.216243982,135.031800032,135.058746099
unit.000100,Euclidean_dist_8193_16385,N/A,134.601526976,134.601526976,203.631090164,203.633603096,203.634768963,203.635051012,203.648151159,204.318830967,204.324095011,204.327100039,137.249333143,137.277835131
unit.000101,Euclidean_dist_8193_20481,N/A,135.988906145,135.988906145,205.134994984,205.137031078,205.138149023,205.138401031,205.151834011,205.826607943,205.832205057,205.835440159,138.382490158,138.410011053
unit.000102,Euclidean_dist_8193_24577,N/A,137.361940145,137.361940145,206.487295151,206.489622116,206.490658045,206.490936041,206.503911018,207.234039068,207.23972106,207.243160963,139.515978098,139.542258024
unit.000103,Euclidean_dist_8193_28673,N/A,138.753940105,138.753940105,207.846148014,207.84888196,207.851932049,207.852204084,207.867072105,208.541074991,208.546154022,208.549026966,141.67753911,141.705140114
unit.000104,Euclidean_dist_8193_32769,N/A,140.805772066,140.805772066,209.942662001,209.945896149,209.947173119,209.947464943,209.948833942,210.651535034,210.65300703,210.657194138,143.894354105,143.922136068
unit.000105,Euclidean_dist_8193_36865,N/A,142.321683168,142.321683168,211.457734108,211.461815119,211.463252068,211.463566065,211.464884043,212.159661055,212.161086082,212.164700031,145.028445959,145.055969954
unit.000106,Euclidean_dist_8193_40961,N/A,143.00802803,143.00802803,212.069779158,212.072144985,212.073297977,212.073609114,212.086786032,212.763693094,212.768764019,212.771502972,146.109945059,146.138030052
