['block_rmsd-97f1aaaf86849ee8e5f59716f774f505', 'processing', 'memory', 'tcp://129.114.90.254:48117', 47520476657408, [('compute', 1496176042.4688158, 1496176048.6131618)]]
['getitem-2b1bb50da27ba6d8110e4ccab2f13d4d', 'processing', 'memory', 'tcp://129.114.90.254:48117', 47520476657408, [('compute', 1496176048.6141539, 1496176048.6141589)]]
['block_rmsd-aeac437e2fc10746f53b602fc4022d0e', 'processing', 'memory', 'tcp://129.114.90.254:34406', 47520476657408, [('compute', 1496176038.754158, 1496176048.715621)]]
['getitem-355aef30f2ff9ec27026dc8fc480a474', 'processing', 'memory', 'tcp://129.114.90.254:34406', 47520476657408, [('compute', 1496176048.716553, 1496176048.716558)]]
['block_rmsd-2edbfdf7a47536ab528ff1b5a592dd86', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496176040.041547, 1496176048.742173)]]
['getitem-1212e751eab4b6eb0acbaafafd5b6e48', 'processing', 'memory', 'tcp://129.114.91.1:48617', 47891426555648, [('compute', 1496176048.743232, 1496176048.743237)]]
['block_rmsd-d74d3ff15ac55ff21f9be3135d819c96', 'processing', 'memory', 'tcp://129.114.91.1:49117', 47891426555648, [('compute', 1496176040.621774, 1496176048.935016)]]
['getitem-11ed68242f2c24473f6e24040e7c395d', 'processing', 'memory', 'tcp://129.114.91.1:49117', 47891426555648, [('compute', 1496176048.9359279, 1496176048.935932)]]
['block_rmsd-3f1e9de22417ddff68d9ebfd55cad74c', 'processing', 'memory', 'tcp://129.114.91.1:43459', 47891426555648, [('compute', 1496176040.1344543, 1496176049.5650592)]]
['getitem-17750b86ca515fc79ba3cae0020f4f37', 'processing', 'memory', 'tcp://129.114.91.1:43459', 47891426555648, [('compute', 1496176049.566174, 1496176049.5661812)]]
['block_rmsd-076afa70c76d3fab196215396685501d', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496176041.2632492, 1496176049.575911)]]
['getitem-4ee39695e0be9634de6142b3e85b4724', 'processing', 'memory', 'tcp://129.114.91.2:59547', 46941277345536, [('compute', 1496176049.5768862, 1496176049.5768912)]]
['block_rmsd-8997243084f200e0e75872feccc09e42', 'processing', 'memory', 'tcp://129.114.91.1:43114', 47891426555648, [('compute', 1496176040.7627342, 1496176049.636991)]]
['getitem-1a886d0eb7d8ca0a862bed976a54af38', 'processing', 'memory', 'tcp://129.114.91.1:43114', 47891426555648, [('compute', 1496176049.6379812, 1496176049.6379862)]]
['block_rmsd-7570acb86030aa72f1f8dc224bbfda06', 'processing', 'memory', 'tcp://129.114.91.2:49843', 46941277345536, [('compute', 1496176040.904328, 1496176049.711232)]]
['getitem-4fa2a7954f8c7eb30cef3d88fc865ae6', 'processing', 'memory', 'tcp://129.114.91.2:49843', 46941277345536, [('compute', 1496176049.7122, 1496176049.712206)]]
['block_rmsd-a81d71f3dea0b721b50e0c853317688a', 'processing', 'memory', 'tcp://129.114.91.3:50102', 47363083609856, [('compute', 1496176041.051898, 1496176049.717666)]]
['getitem-396870d21a3e2fe47890d968c06914e6', 'processing', 'memory', 'tcp://129.114.91.3:50102', 47363083609856, [('compute', 1496176049.718708, 1496176049.718714)]]
['block_rmsd-60911fe7a876bedf7cc3844e4a8750fa', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176041.719629, 1496176049.829658)]]
['getitem-1437b9fdd41b1e928d6931b9f0ed7f44', 'processing', 'memory', 'tcp://129.114.91.1:46953', 47891426555648, [('compute', 1496176049.83063, 1496176049.830635)]]
['block_rmsd-dde62e59dacb0456a64495525dbb872c', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176041.919361, 1496176050.040769)]]
['getitem-546ff2dfc192d00087d67f8ad59515ed', 'processing', 'memory', 'tcp://129.114.91.2:43661', 46941277345536, [('compute', 1496176050.041845, 1496176050.04185)]]
['block_rmsd-b4268fbaf25603214ad1372368b5a1fe', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176042.014404, 1496176050.167831)]]
['getitem-0a72078f01bcb7a8d60691bcee28e0df', 'processing', 'memory', 'tcp://129.114.91.2:36017', 46941277345536, [('compute', 1496176050.1689131, 1496176050.168919)]]
['block_rmsd-3c7106ff13e615811df734e5a612d82f', 'processing', 'memory', 'tcp://129.114.91.2:43262', 46941277345536, [('compute', 1496176041.458757, 1496176050.219459)]]
['getitem-5510cb9afb3414e4086efd4e580f7376', 'processing', 'memory', 'tcp://129.114.91.2:43262', 46941277345536, [('compute', 1496176050.220546, 1496176050.220555)]]
['block_rmsd-749ade4a31532c85a5e7ee73b1a5912c', 'processing', 'memory', 'tcp://129.114.91.1:43900', 47891426555648, [('compute', 1496176041.6929739, 1496176050.233995)]]
['getitem-1559cf1a4ebfb647ae14a8abf769e48e', 'processing', 'memory', 'tcp://129.114.91.1:43900', 47891426555648, [('compute', 1496176050.2350218, 1496176050.2350268)]]
['block_rmsd-ad3b86763a18c369a508fb82b8c62583', 'processing', 'memory', 'tcp://129.114.91.3:40168', 47363083609856, [('compute', 1496176044.0669458, 1496176050.27856)]]
['getitem-488a92d65dce3ccb72c36f45cecc0c82', 'processing', 'memory', 'tcp://129.114.91.3:40168', 47363083609856, [('compute', 1496176050.2796187, 1496176050.2796268)]]
['block_rmsd-6aa4dac77601aeac504e66062ebeeea2', 'processing', 'memory', 'tcp://129.114.90.254:36920', 47520476657408, [('compute', 1496176038.7849548, 1496176050.4817188)]]
